0,1,2,3,4,5,6,7,8,9
0.891,0.921,0.915,0.921,0.891,0.873,0.867,0.842,0.836,0.836
0.927,0.939,0.933,0.939,0.903,0.879,0.848,0.842,0.836,0.842
0.915,0.933,0.885,0.885,0.855,0.842,0.842,0.83,0.824,0.824
0.915,0.897,0.903,0.849,0.842,0.867,0.873,0.861,0.861,0.842
0.915,0.909,0.915,0.903,0.909,0.885,0.873,0.867,0.861,0.842
0.945,0.909,0.921,0.921,0.927,0.885,0.879,0.843,0.867,0.867
0.939,0.927,0.909,0.891,0.885,0.885,0.873,0.861,0.848,0.848
