0,1,2,3,4,5,6,7,8
0.2424,0.345454545,0.466666667,0.503030303,0.545454545,0.460606061,0.387878788,0.278787879,0.2
0.3939,0.557575758,0.690909091,0.793939394,0.812121212,0.781818182,0.690909091,0.56969697,0.3939
0.6424,0.8,0.878787879,0.933333333,0.945454545,0.945454545,0.896969697,0.812121212,0.606
0.6909,0.842424242,0.921212121,0.927272727,0.957575758,0.957575758,0.903030303,0.83030303,0.6606
0.612,0.781818182,0.866666667,0.896969697,0.921212121,0.896969697,0.866666667,0.775757576,0.5909
0.4667,0.6,0.745454545,0.83030303,0.842424242,0.818181818,0.727272727,0.56969697,0.424
0.2242,0.315151515,0.381818182,0.496969697,0.545454545,0.460606061,0.345454545,0.254545455,0.2364
